,chats,memberChats,uniqueChatters,uniqueMembers,bannedChatters,deletedChats,superChats,uniqueSuperChatters,totalSC,averageSC,totalMessageLength,averageMessageLength,subscriptionCount,videoCount
chats,1.0,0.9268421687616786,0.8816332946301026,0.8427117729558827,0.33788250964350663,0.26222232995007716,0.7458492950929135,0.7477182780935276,0.7254719151464332,0.060410508462683005,0.7605554666729839,0.23044788457227705,0.6848457432497496,0.23503414226329095
memberChats,0.9268421687616786,1.0,0.7624739116284671,0.8892440349224207,0.32959132835172217,0.1960871670477552,0.7203223970057193,0.671933448300826,0.6884289133142397,0.06194459595379609,0.7067196483707445,0.1795894723042644,0.6528995435402661,0.24168218468627073
uniqueChatters,0.8816332946301026,0.7624739116284671,1.0,0.8216793523677021,0.35011183020024744,0.29698785414375833,0.6746194922305246,0.7423449552334339,0.6831857317360127,0.07256461576327605,0.7273045742095636,0.2813717014752654,0.7974189104164912,0.19626581960152029
uniqueMembers,0.8427117729558827,0.8892440349224207,0.8216793523677021,1.0,0.32687569135728267,0.20581287994084244,0.6816846641336879,0.7140518294998952,0.6907604684736476,0.09512479719957502,0.6861574475493474,0.20112578718315968,0.7700790405736407,0.1938126706919663
bannedChatters,0.33788250964350663,0.32959132835172217,0.35011183020024744,0.32687569135728267,1.0,0.5460789840096753,0.31271392002800785,0.2608601792995057,0.2527228604537707,-0.02964434105422883,0.29751133919688133,0.10575437585706367,0.2924198579664306,0.09062036594388306
deletedChats,0.26222232995007716,0.1960871670477552,0.29698785414375833,0.20581287994084244,0.5460789840096753,1.0,0.21283151184257268,0.19019588186540734,0.1791881811361965,-0.038405523602495155,0.2687872372833262,0.18176424710435415,0.1936596966931865,0.018368127921166835
superChats,0.7458492950929135,0.7203223970057193,0.6746194922305246,0.6816846641336879,0.31271392002800785,0.21283151184257268,1.0,0.8649043119888801,0.8856711207762789,0.010824278316770545,0.8846129180840244,0.15918001672104756,0.5000261029644077,0.1244533973215248
uniqueSuperChatters,0.7477182780935276,0.671933448300826,0.7423449552334339,0.7140518294998952,0.2608601792995057,0.19019588186540734,0.8649043119888801,1.0,0.9290074025669987,0.1065316974048185,0.8025977400326508,0.1651542161213068,0.5512316725177339,0.15917941576227038
totalSC,0.7254719151464332,0.6884289133142397,0.6831857317360127,0.6907604684736476,0.2527228604537707,0.1791881811361965,0.8856711207762789,0.9290074025669987,1.0,0.16102406950370113,0.8378095338685791,0.16524723517991124,0.5031251820407159,0.13317342276277858
averageSC,0.060410508462683005,0.06194459595379609,0.07256461576327605,0.09512479719957502,-0.02964434105422883,-0.038405523602495155,0.010824278316770545,0.1065316974048185,0.16102406950370113,1.0,0.02083578519998141,-0.03794771743079991,0.11614356773369898,0.05034495987890398
totalMessageLength,0.7605554666729839,0.7067196483707445,0.7273045742095636,0.6861574475493474,0.29751133919688133,0.2687872372833262,0.8846129180840244,0.8025977400326508,0.8378095338685791,0.02083578519998141,1.0,0.36035214196141513,0.5223507576840112,0.06375122306864649
averageMessageLength,0.23044788457227705,0.1795894723042644,0.2813717014752654,0.20112578718315968,0.10575437585706367,0.18176424710435415,0.15918001672104756,0.1651542161213068,0.16524723517991124,-0.03794771743079991,0.36035214196141513,1.0,0.1925934580073735,-0.12088074897769041
subscriptionCount,0.6848457432497496,0.6528995435402661,0.7974189104164912,0.7700790405736407,0.2924198579664306,0.1936596966931865,0.5000261029644077,0.5512316725177339,0.5031251820407159,0.11614356773369898,0.5223507576840112,0.1925934580073735,1.0,0.29937235883313623
videoCount,0.23503414226329095,0.24168218468627073,0.19626581960152029,0.1938126706919663,0.09062036594388306,0.018368127921166835,0.1244533973215248,0.15917941576227038,0.13317342276277858,0.05034495987890398,0.06375122306864649,-0.12088074897769041,0.29937235883313623,1.0
